frame,id,x1,y1,x2,y2,type
200,4,280.53,387.01,27.71,83.56,person
200,16,819.94,305.09,9.69,32.02,person
201,1,314.8,393.3,23.23,80.34,person
201,4,280.52,387.07,27.71,83.49,person
201,16,819.98,305.07,9.67,32.01,person
202,1,314.23,392.97,23.35,80.93,person
202,4,280.52,387.02,27.71,83.42,person
202,16,819.98,305.03,9.66,32.03,person
203,1,314.01,392.77,23.4,81,person
203,4,280.54,387.1,27.66,83.2,person
203,16,819.99,305.01,9.64,32.04,person
204,1,314.64,392.86,23.31,80.89,person
204,4,280.44,387.05,27.69,83.18,person
204,16,820,305,9.63,32.05,person
205,1,314.9,392.94,23.2,80.72,person
205,4,280.35,386.84,27.73,83.36,person
205,16,820.01,304.98,9.62,32.05,person
206,1,314.61,393.28,22.94,80.16,person
206,4,280.47,387.06,27.71,83.18,person
206,16,820.06,305.03,9.62,32.1,person
207,1,314.55,393.38,22.81,79.98,person
207,4,280.5,387.13,27.72,83.14,person
207,16,820.07,304.98,9.65,32.22,person
208,1,314.58,393.38,22.72,79.96,person
208,4,280.51,387.3,27.7,82.92,person
208,16,820.06,304.93,9.67,32.33,person
209,1,314.71,393.6,22.53,79.61,person
209,4,280.54,387.54,27.66,82.63,person
209,16,820.06,304.91,9.67,32.36,person
210,1,314.73,393.72,22.4,79.42,person
210,4,280.53,387.66,27.66,82.51,person
